hostel_id,date,weekday,borrowed_books,avg_study_hours,exam_flag,festival_flag,hostel_capacity,threshold,high_demand
H01,2024-01-01,1,9,3.6,0,0,151,16.2,0
H01,2024-01-02,1,12,4.0,0,0,151,16.2,0
H01,2024-01-03,1,11,3.76,0,0,151,16.2,0
H01,2024-01-04,1,12,3.83,0,0,151,16.2,0
H01,2024-01-05,1,15,3.76,0,0,151,16.2,0
H01,2024-01-06,0,6,3.54,0,0,151,16.2,0
H01,2024-01-07,0,9,3.46,0,0,151,16.2,0
H01,2024-01-08,1,10,4.7,0,0,151,16.2,0
H01,2024-01-09,1,14,4.46,0,0,151,16.2,0
H01,2024-01-10,1,14,5.6,0,0,151,16.2,0
H01,2024-01-11,1,12,3.51,0,0,151,16.2,0
H01,2024-01-12,1,10,3.72,0,0,151,16.2,0
H01,2024-01-13,0,10,4.52,0,0,151,16.2,0
H01,2024-01-14,0,10,2.98,0,0,151,16.2,0
H01,2024-01-15,1,14,3.24,0,0,151,16.2,0
H01,2024-01-16,1,17,3.91,0,0,151,16.2,1
H01,2024-01-17,1,12,4.27,0,0,151,16.2,0
H01,2024-01-18,1,12,3.49,0,0,151,16.2,0
H01,2024-01-19,1,19,4.54,0,0,151,16.2,1
H01,2024-01-20,0,8,3.93,0,0,151,16.2,0
H01,2024-01-21,0,4,2.92,0,0,151,16.2,0
H01,2024-01-22,1,8,3.54,0,0,151,16.2,0
H01,2024-01-23,1,12,3.62,0,0,151,16.2,0
H01,2024-01-24,1,8,3.69,0,0,151,16.2,0
H01,2024-01-25,1,12,4.18,0,0,151,16.2,0
H01,2024-01-26,1,9,4.18,0,0,151,16.2,0
H01,2024-01-27,0,9,2.29,0,0,151,16.2,0
H01,2024-01-28,0,11,4.69,0,0,151,16.2,0
H01,2024-01-29,1,12,3.99,0,0,151,16.2,0
H01,2024-01-30,1,9,4.76,0,0,151,16.2,0
H01,2024-01-31,1,16,4.51,0,0,151,16.2,0
H01,2024-02-01,1,16,2.79,0,0,151,16.2,0
H01,2024-02-02,1,15,5.4,0,0,151,16.2,0
H01,2024-02-03,0,14,4.1,0,0,151,16.2,0
H01,2024-02-04,0,15,3.07,0,0,151,16.2,0
H01,2024-02-05,1,11,4.3,0,0,151,16.2,0
H01,2024-02-06,1,15,4.7,0,0,151,16.2,0
H01,2024-02-07,1,14,6.17,0,0,151,16.2,0
H01,2024-02-08,1,12,3.18,0,0,151,16.2,0
H01,2024-02-09,1,14,3.85,0,0,151,16.2,0
H01,2024-02-10,0,13,4.13,0,0,151,16.2,0
H01,2024-02-11,0,9,3.97,0,0,151,16.2,0
H01,2024-02-12,1,9,3.6,0,0,151,16.2,0
H01,2024-02-13,1,10,3.94,0,0,151,16.2,0
H01,2024-02-14,1,17,4.67,0,0,151,16.2,1
H01,2024-02-15,1,10,5.48,0,0,151,16.2,0
H01,2024-02-16,1,10,3.71,0,0,151,16.2,0
H01,2024-02-17,0,4,4.28,0,0,151,16.2,0
H01,2024-02-18,0,9,3.45,0,0,151,16.2,0
H01,2024-02-19,1,17,4.17,0,0,151,16.2,1
H01,2024-02-20,1,4,3.26,0,0,151,16.2,0
H01,2024-02-21,1,17,4.72,0,0,151,16.2,1
H01,2024-02-22,1,22,4.24,0,0,151,16.2,1
H01,2024-02-23,1,12,4.74,0,0,151,16.2,0
H01,2024-02-24,0,6,3.97,0,0,151,16.2,0
H01,2024-02-25,0,9,3.75,0,0,151,16.2,0
H01,2024-02-26,1,10,4.42,0,0,151,16.2,0
H01,2024-02-27,1,15,4.03,0,0,151,16.2,0
H01,2024-02-28,1,19,4.32,0,0,151,16.2,1
H01,2024-02-29,1,14,4.4,0,0,151,16.2,0
H01,2024-03-01,1,14,3.82,0,0,151,16.2,0
H01,2024-03-02,0,6,4.22,0,0,151,16.2,0
H01,2024-03-03,0,5,4.51,0,0,151,16.2,0
H01,2024-03-04,1,11,4.91,0,0,151,16.2,0
H01,2024-03-05,1,14,4.56,0,0,151,16.2,0
H01,2024-03-06,1,13,5.01,0,0,151,16.2,0
H01,2024-03-07,1,20,5.27,0,0,151,16.2,1
H01,2024-03-08,1,15,4.89,0,0,151,16.2,0
